customer_id,customer_name,city,state,joining_date,is_active
60,Samaira Saini,Bettiah,Gujarat,2021-06-27,True
61,Indrajit Batra,Coimbatore,Andhra Pradesh,2024-09-17,False
62,Gokul Manda,Pudukkottai,Kerala,2024-01-30,False
63,Nehmat Swaminathan,Dhanbad,Delhi,2022-01-09,False
64,Oorja Bhasin,Thanjavur,Punjab,2024-03-14,False
65,Sumer Keer,Satna,Kerala,2022-03-16,True
66,Kabir Sharaf,Nashik,Rajasthan,2022-09-02,True
67,Aaina Bath,Burhanpur,Telangana,2021-03-26,True
68,Stuvan Sarma,Jamnagar,Andhra Pradesh,2023-01-23,True
69,Divij Dora,Alappuzha,Telangana,2021-08-10,True
70,Kaira Babu,Bhind,Rajasthan,2024-05-04,False
71,Saksham Dhillon,Nangloi Jat,Kerala,2021-07-01,False
72,Vaibhav Chhabra,Gaya,Andhra Pradesh,2022-02-14,True
73,Vedika Ahluwalia,Gwalior,Punjab,2023-07-17,True
74,Mamooty Mani,Junagadh,Delhi,2021-03-18,True
75,Yuvaan Barad,Mumbai,Andhra Pradesh,2023-01-04,False
76,Abram Khurana,Thoothukudi,Punjab,2022-12-29,True
77,Shalv Chahal,Mau,Tamil Nadu,2021-10-07,True
78,Rhea Ahluwalia,Panvel,Tamil Nadu,2021-09-05,True
79,Rasha Dixit,Junagadh,Andhra Pradesh,2022-07-27,False
80,Himmat Dar,Unnao,Andhra Pradesh,2023-10-02,False
81,Saksham Badal,Nadiad,Telangana,2023-05-02,False
82,Alia Bal,Kakinada,Andhra Pradesh,2021-12-21,False
83,Armaan Bedi,Dibrugarh,Andhra Pradesh,2024-07-01,False
84,Ira Iyengar,Bidhannagar,Tamil Nadu,2025-03-16,False
85,Bhavin Bose,Bhopal,Karnataka,2024-03-07,False
86,Ahana  Bora,Chinsurah,Andhra Pradesh,2024-07-17,False
87,Mehul Raman,Nizamabad,Tamil Nadu,2024-10-17,True
88,Nehmat Goel,Bikaner,Maharashtra,2021-09-02,True
89,Vedika Bedi,Navi Mumbai,Andhra Pradesh,2022-04-14,False
90,Bhavin Subramaniam,Bhusawal,Delhi,2022-08-02,True
91,Zaina Brahmbhatt,Kadapa,Tamil Nadu,2022-02-12,False
92,Zara Verma,Bhiwandi,Karnataka,2021-04-28,True
93,Myra Sathe,Raipur,Punjab,2023-08-21,True
94,Arnav Issac,Berhampore,Maharashtra,2021-04-11,False
95,Adira Rege,Haldia,Kerala,2022-03-20,False
96,Kavya Bhavsar,Ramagundam,Maharashtra,2023-08-05,False
97,Nirvi Bhardwaj,Navi Mumbai,Tamil Nadu,2025-04-13,False
98,Rania Sarraf,Ahmednagar,Andhra Pradesh,2023-11-10,False
99,Anay Sarraf,Salem,Maharashtra,2025-01-21,False
100,Abram Tara,Uluberia,Kerala,2024-01-31,False
101,Nishith Chadha,Bahraich,Telangana,2023-01-15,True
102,Trisha Krishna,Madurai,Delhi,2024-07-09,True
103,Urvi Rege,Bhind,Karnataka,2023-10-14,True
104,Indranil Chahal,Madurai,Rajasthan,2024-12-29,True
105,Darshit Din,Rajpur Sonarpur,Punjab,2023-06-30,True
106,Priyansh Doshi,Mehsana,Gujarat,2023-01-24,True
107,Jiya Dhingra,Mirzapur,Tamil Nadu,2021-09-21,True
108,Zaina Gera,Bhimavaram,Gujarat,2021-11-08,True
109,Rasha Baria,Proddatur,Delhi,2021-07-21,False
110,Anika Sahni,Rewa,Telangana,2021-11-14,False
111,Navya Bera,Chennai,Kerala,2023-08-17,True
112,Misha Bansal,Ludhiana,Telangana,2023-03-10,False
113,Trisha Salvi,Tinsukia,Gujarat,2023-10-17,True
114,Neysa Chaudhari,Guwahati,Rajasthan,2023-07-01,False
115,Reyansh Sehgal,Kolhapur,Karnataka,2025-03-01,True
116,Jayesh Kulkarni,Ahmedabad,Tamil Nadu,2023-12-06,True
117,Prerak Mahajan,Pimpri-Chinchwad,Rajasthan,2022-10-17,True
118,Shalv Bera,Jammu,Gujarat,2024-10-11,True
119,Miraan Varkey,Amroha,Andhra Pradesh,2021-06-12,False
120,Shlok Sarna,Surat,Karnataka,2024-08-29,True
121,Saksham Rajan,Avadi,Tamil Nadu,2023-06-28,True
122,Dharmajan Dhar,Kumbakonam,Maharashtra,2024-10-15,False
123,Drishya Raj,Raiganj,Delhi,2024-08-10,True
124,Renee Anne,Faridabad,Gujarat,2023-09-20,True
125,Elakshi Badal,Nizamabad,Maharashtra,2024-05-11,True
126,Vidur Gara,Gudivada,Andhra Pradesh,2023-11-07,False
127,Adira Sane,Amravati,Rajasthan,2022-09-29,True
128,Jayant Sankar,Kadapa,Andhra Pradesh,2025-01-06,False
129,Alia Bansal,Bellary,Karnataka,2022-08-24,True
130,Ojas Bhalla,Erode,Delhi,2024-11-09,True
131,Veer Ahluwalia,Junagadh,Delhi,2024-04-27,True
132,Riaan Kadakia,Sonipat,Punjab,2024-11-18,True
133,Amira Sen,Guna,Karnataka,2024-11-30,True
134,Arnav Agate,Nellore,Telangana,2022-01-05,True
135,Hiran Dhawan,Chinsurah,Maharashtra,2021-12-25,True
136,Zaina Mane,Purnia,Delhi,2024-11-30,True
137,Indrajit Bedi,Khammam,Delhi,2022-08-24,False
138,Dishani Golla,Bhiwani,Karnataka,2024-07-13,False
139,Vardaniya Bajwa,Ozhukarai,Maharashtra,2025-01-07,False
140,Piya Chana,Anantapuram,Kerala,2023-04-14,False
141,Hansh Chaudhuri,Ghaziabad,Rajasthan,2021-04-16,False
142,Tushar Kapadia,Sangli-Miraj & Kupwad,Andhra Pradesh,2024-05-17,False
143,Nakul Sangha,Bhubaneswar,Rajasthan,2024-10-07,True
144,Anahita Jani,Firozabad,Kerala,2022-01-27,True
145,Manjari Gour,Orai,Maharashtra,2022-03-29,False
146,Saanvi Anne,Meerut,Gujarat,2024-06-18,False
147,Kiara Balasubramanian,Surendranagar Dudhrej,Tamil Nadu,2023-10-26,False
148,Jayant Sem,Naihati,Rajasthan,2021-12-18,False
149,Arnav Tailor,Kavali,Tamil Nadu,2025-03-01,True
150,Zaina Sanghvi,Aligarh,Karnataka,2025-03-10,False
151,Samarth Garde,Rajkot,Punjab,2022-12-28,False
152,Nakul Khanna,Pune,Maharashtra,2023-10-15,False
153,Fateh Guha,Ambarnath,Maharashtra,2023-09-01,False
154,Priyansh Grewal,Allahabad,Delhi,2021-10-15,False
155,Ayesha Vala,Ambattur,Maharashtra,2025-03-26,True
156,Miraya Lata,Jaunpur,Andhra Pradesh,2021-04-21,False
157,Nehmat Sodhi,Agartala,Delhi,2024-06-13,False
158,Samiha Anne,Naihati,Delhi,2021-03-22,False
159,Diya Chaudhary,Kulti,Tamil Nadu,2024-09-12,False
160,Prisha Baria,Burhanpur,Delhi,2024-05-12,False
161,Rati Joshi,Begusarai,Andhra Pradesh,2023-10-09,False
162,Tanya Kadakia,Gurgaon,Rajasthan,2023-11-15,False
163,Lagan Sampath,Latur,Kerala,2025-02-08,True
164,Kashvi Devi,Bareilly,Maharashtra,2024-02-08,False
165,Riaan Golla,Tirupati,Punjab,2021-12-22,False
166,Tushar Gara,Karimnagar,Punjab,2022-10-04,False
167,Sumer Ramesh,Thiruvananthapuram,Delhi,2023-01-26,True
168,Aaina Upadhyay,Arrah,Kerala,2025-03-26,True
169,Adira Doshi,Bokaro,Tamil Nadu,2021-10-09,True
170,Hunar Badami,Ghaziabad,Karnataka,2022-01-22,True
171,Jayan Sarna,Berhampore,Maharashtra,2022-09-11,False
172,Trisha Sami,Mau,Rajasthan,2021-04-19,True
173,Ayesha Rao,Malda,Telangana,2024-06-26,True
174,Gatik Barad,Ghaziabad,Maharashtra,2022-07-02,True
175,Diya Rama,Ghaziabad,Rajasthan,2024-10-30,True
176,Madhav Sibal,Maheshtala,Delhi,2023-02-13,False
177,Veer Hari,Firozabad,Maharashtra,2025-01-01,False
178,Tara Iyer,Pondicherry,Telangana,2023-05-23,False
179,Anika Kakar,Gurgaon,Delhi,2024-03-03,True
180,Gatik Sharaf,Kanpur,Andhra Pradesh,2023-08-31,True
181,Gatik Zacharia,Jammu,Gujarat,2022-12-05,True
182,Fateh Raman,Dewas,Telangana,2021-10-02,True
183,Zara Kumar,Guntur,Delhi,2024-03-16,True
184,Badal Mander,Panvel,Punjab,2021-12-07,True
185,Kavya Jaggi,Sultan Pur Majra,Maharashtra,2021-11-26,True
186,Anahi Joshi,Ongole,Tamil Nadu,2023-06-07,False
187,Nayantara Kohli,Malda,Gujarat,2022-12-08,False
188,Tejas Tandon,Rewa,Kerala,2022-06-25,True
189,Anvi Shetty,Bhopal,Delhi,2024-06-25,False
190,Raghav Gour,Mango,Delhi,2022-03-21,True
191,Taran Comar,Ongole,Rajasthan,2022-09-29,True
192,Kavya Vora,Hyderabad,Kerala,2023-07-05,False
193,Suhana Kanda,Deoghar,Delhi,2021-11-18,False
194,Sara Goda,Pudukkottai,Delhi,2022-10-14,False
195,Alisha Rajagopalan,Raichur,Gujarat,2025-02-09,True
196,Chirag Swaminathan,Medininagar,Karnataka,2024-02-21,False
197,Alisha Chandran,Hapur,Punjab,2024-02-05,True
198,Kaira Baria,Vijayawada,Andhra Pradesh,2023-04-27,True
199,Chirag D’Alia,Raipur,Tamil Nadu,2024-11-02,True
200,Misha Kapoor,Bhagalpur,Karnataka,2024-06-01,False
201,Parinaaz Tella,Mehsana,Gujarat,2024-06-10,True
202,Divij Chahal,Mirzapur,Punjab,2022-07-27,True
203,Fateh Sen,Naihati,Delhi,2021-11-17,True
204,Elakshi Varty,Akola,Kerala,2023-09-23,False
205,Jhanvi Bala,Nagpur,Kerala,2025-03-04,False
206,Mohanlal Tella,Thrissur,Karnataka,2024-11-15,False
207,Advika Jaggi,Tirupati,Kerala,2021-04-02,False
208,Nishith Mallick,Udupi,Karnataka,2023-11-17,True
209,Vedika Bora,Ambattur,Delhi,2023-03-12,True
210,Sumer Kar,Ongole,Andhra Pradesh,2022-05-05,False
211,Gokul Butala,Malda,Maharashtra,2023-03-16,False
212,Ahana  Chaudry,Katihar,Karnataka,2024-02-01,True
213,Nayantara Karan,Patiala,Tamil Nadu,2023-10-15,True
214,Elakshi Dutt,Surat,Andhra Pradesh,2022-08-25,True
215,Uthkarsh Ranganathan,Aurangabad,Maharashtra,2024-07-20,True
216,Samiha Shere,Rampur,Gujarat,2022-09-05,False
217,Nakul Balay,Danapur,Andhra Pradesh,2025-02-06,False
218,Madhav Loyal,Motihari,Andhra Pradesh,2023-06-11,True
219,Rania Lad,Bidhannagar,Maharashtra,2024-07-12,False
220,Ayesha Singh,Sasaram,Gujarat,2024-12-03,False
221,Purab Bava,Kumbakonam,Karnataka,2023-10-10,False
222,Khushi Kibe,Bhavnagar,Andhra Pradesh,2024-06-04,True
223,Rati Luthra,Panvel,Rajasthan,2021-03-19,True
224,Bhamini Wali,Visakhapatnam,Punjab,2025-03-14,False
225,Reyansh Bansal,Ramgarh,Maharashtra,2024-03-14,False
226,Riaan Soman,Hubli–Dharwad,Rajasthan,2023-07-09,True
227,Suhana Anne,Tadepalligudem,Telangana,2024-09-16,False
228,Madhav Sankar,Hyderabad,Telangana,2024-03-20,True
229,Aaryahi Verma,Tiruppur,Punjab,2023-09-19,False
230,Shanaya Vohra,Tezpur,Delhi,2024-03-31,True
231,Rhea Chauhan,Tumkur,Punjab,2023-03-08,False
232,Aarav Raj,Anantapur,Gujarat,2023-05-17,False
233,Baiju Dhaliwal,Dibrugarh,Telangana,2021-05-12,False
234,Abram Shroff,Bhopal,Tamil Nadu,2023-12-30,False
235,Farhan Kamdar,Begusarai,Andhra Pradesh,2024-04-30,False
236,Hunar Brahmbhatt,Thanjavur,Gujarat,2024-04-10,True
237,Aaryahi Saxena,Thoothukudi,Punjab,2022-04-01,True
238,Rati Sha,Thanjavur,Delhi,2021-05-10,True
239,Navya Mand,Cuttack,Delhi,2024-11-07,False
240,Vaibhav Guha,Kalyan-Dombivli,Gujarat,2023-10-01,False
241,Biju Bhavsar,Avadi,Kerala,2022-03-18,False
242,Dharmajan Chauhan,Panchkula,Punjab,2022-09-05,True
243,Parinaaz Deshpande,Mathura,Maharashtra,2024-04-23,False
244,Fateh Tailor,Bidhannagar,Karnataka,2022-05-01,True
245,Ela Banerjee,Malegaon,Maharashtra,2023-11-02,False
246,Aarush Saini,Nagpur,Rajasthan,2021-10-10,False
247,Aaina Sodhi,Nagercoil,Kerala,2022-08-05,True
248,Sana Sachar,Amritsar,Andhra Pradesh,2024-11-18,True
249,Nakul Khalsa,Malegaon,Tamil Nadu,2021-06-08,True
250,Parinaaz Wagle,Panihati,Maharashtra,2023-08-23,True
251,Navya Krishnamurthy,Vellore,Telangana,2021-11-03,False
252,Suhana Sunder,Dhule,Kerala,2023-01-04,True
253,Bhavin Kohli,Bareilly,Punjab,2025-01-05,True
254,Saksham Bhagat,Aizawl,Rajasthan,2022-11-09,True
255,Jiya Bhatt,Agra,Gujarat,2021-07-28,True
256,Dhruv Gour,Tadepalligudem,Delhi,2022-07-06,False
257,Rasha Bhalla,Ongole,Andhra Pradesh,2024-03-25,True
258,Advika Grewal,Tenali,Telangana,2024-07-28,True
259,Prerak Krish,Ambattur,Punjab,2023-08-03,False
260,Pari Bera,Kozhikode,Delhi,2022-07-29,True
261,Shray Gole,Ulhasnagar,Telangana,2022-06-01,False
262,Aniruddh Gour,Bilaspur,Gujarat,2023-04-15,False
263,Piya Khare,Saharsa,Delhi,2021-12-31,False
264,Alia Garg,Kurnool,Punjab,2021-07-20,True
265,Jhanvi Sahni,Bhind,Rajasthan,2022-10-21,True
266,Romil Sama,Dibrugarh,Maharashtra,2025-03-27,False
267,Manjari Sagar,Ranchi,Rajasthan,2022-08-27,False
268,Samar Mangat,Lucknow,Andhra Pradesh,2022-09-07,True
269,Renee Dara,Siwan,Delhi,2024-08-28,True
270,Ranbir Kar,Suryapet,Andhra Pradesh,2024-07-12,True
271,Riya Virk,Munger,Delhi,2023-02-01,False
272,Purab Rama,Bellary,Delhi,2023-05-21,True
273,Aarav Bajaj,Bareilly,Kerala,2023-10-18,False
274,Neelofar Chaudhari,Shimoga,Gujarat,2025-02-09,False
275,Jayant Chaudry,Motihari,Gujarat,2023-02-21,True
276,Pari Rout,Adoni,Rajasthan,2021-07-28,True
277,Elakshi Tandon,Amravati,Maharashtra,2023-12-12,True
278,Yuvaan Wali,Varanasi,Telangana,2025-03-01,True
279,Renee Bansal,Bhimavaram,Maharashtra,2022-06-06,True
280,Priyansh Chandra,Ramagundam,Gujarat,2021-07-16,False
281,Dhanuk Butala,Amritsar,Gujarat,2022-02-18,True
282,Veer Thaker,Kurnool,Karnataka,2021-06-06,False
283,Shamik Kade,Hubli–Dharwad,Karnataka,2024-06-19,True
284,Rhea Majumdar,Baranagar,Rajasthan,2024-06-26,False
285,Ojas Viswanathan,Chapra,Kerala,2022-09-20,False
286,Saira Dugar,Ahmedabad,Andhra Pradesh,2022-10-20,False
287,Anay Ravi,Kozhikode,Telangana,2023-09-01,False
288,Anahita Rajagopalan,Latur,Rajasthan,2021-08-12,True
289,Kaira Chada,Kottayam,Kerala,2022-07-06,False
290,Manjari Lanka,Davanagere,Telangana,2022-12-24,False
291,Rasha Upadhyay,Gurgaon,Rajasthan,2022-06-15,False
292,Aaryahi Sethi,Sikar,Maharashtra,2021-09-26,True
293,Ela Venkatesh,Saharanpur,Tamil Nadu,2025-01-17,True
294,Mamooty Gara,Mirzapur,Delhi,2021-07-26,True
295,Anvi Dash,Ahmednagar,Tamil Nadu,2024-12-15,False
296,Sara Mammen,Kozhikode,Maharashtra,2022-08-22,True
297,Ivana Bhavsar,Bharatpur,Kerala,2024-11-16,True
298,Elakshi Solanki,Ambala,Delhi,2022-09-18,False
299,Tiya Gour,Madanapalle,Maharashtra,2022-02-06,False
300,Parinaaz Swamy,Ongole,Gujarat,2022-04-01,True
301,Anay Sastry,Tiruchirappalli,Karnataka,2021-03-18,False
302,Sahil Sangha,Siliguri,Punjab,2023-12-04,False
303,Himmat Shanker,Korba,Gujarat,2025-01-05,False
304,Ira Acharya,Gandhinagar,Kerala,2024-09-20,False
305,Lakshit Loke,Vijayawada,Rajasthan,2023-03-10,False
306,Alisha Shanker,Thanjavur,Punjab,2023-03-11,True
307,Anika Luthra,Aizawl,Kerala,2024-09-08,False
308,Samar Srivastava,Sonipat,Punjab,2022-05-11,True
309,Hrishita Viswanathan,Sonipat,Andhra Pradesh,2023-12-06,False
310,Vivaan Sama,Bhalswa Jahangir Pur,Punjab,2023-02-11,False
311,Umang Shankar,Gangtok,Tamil Nadu,2021-06-07,False
312,Divyansh Srinivasan,Burhanpur,Delhi,2023-03-15,False
313,Hansh Taneja,Vellore,Gujarat,2024-11-04,True
314,Jivin Kaul,Gaya,Maharashtra,2022-12-26,False
315,Ranbir Dugar,Akola,Delhi,2021-05-14,True
316,Mahika Tella,Mumbai,Karnataka,2024-12-17,False
317,Alia Srinivasan,Mehsana,Karnataka,2024-12-14,True
318,Khushi Ratti,Berhampur,Maharashtra,2025-03-08,True
319,Devansh Acharya,Moradabad,Kerala,2023-04-05,False
320,Lakshay Bose,Berhampur,Telangana,2023-08-19,False
321,Faiyaz Krishna,Alwar,Kerala,2025-02-24,True
322,Yashvi Rout,Etawah,Telangana,2023-02-25,True
323,Kashvi Chopra,Secunderabad,Tamil Nadu,2021-07-16,False
324,Eshani Ramakrishnan,Vijayawada,Tamil Nadu,2023-01-23,False
325,Ojas Wable,Imphal,Telangana,2024-01-05,True
326,Samarth Dani,Hindupur,Karnataka,2023-08-06,False
327,Baiju Joshi,Panihati,Kerala,2022-05-23,True
328,Mehul Lall,Malda,Gujarat,2021-06-29,True
329,Prisha Thakur,Satna,Gujarat,2025-04-10,True
330,Himmat Rao,Vellore,Delhi,2022-03-11,False
331,Ishita Lanka,Mirzapur,Karnataka,2022-01-13,False
332,Vritika Hans,Ambattur,Gujarat,2023-11-11,False
333,Zeeshan Anne,Shahjahanpur,Telangana,2023-04-13,False
334,Kavya Chaudhary,Ranchi,Gujarat,2024-12-16,False
335,Kanav Rajagopalan,Madurai,Tamil Nadu,2021-10-08,False
336,Samar Bath,Guntur,Punjab,2023-07-03,True
337,Dhanush Sule,Tinsukia,Maharashtra,2021-06-01,False
338,Sara Vohra,Agra,Gujarat,2023-11-16,False
339,Nehmat Dalal,Naihati,Punjab,2023-05-24,True
340,Divit Vig,Raurkela Industrial Township,Tamil Nadu,2024-04-09,True
341,Chirag Devi,Tenali,Andhra Pradesh,2022-06-18,False
342,Vivaan Arya,Tirunelveli,Delhi,2021-07-11,False
343,Ishita Sibal,Muzaffarpur,Rajasthan,2022-11-24,True
344,Jhanvi Lall,Ozhukarai,Delhi,2023-05-03,True
345,Khushi Sagar,Madurai,Telangana,2021-10-27,True
346,Keya Jain,Ranchi,Delhi,2025-01-08,True
347,Veer Vaidya,Mango,Rajasthan,2022-06-14,False
348,Yuvaan Chanda,Durg,Maharashtra,2024-09-08,True
349,Vritika Sandal,Siwan,Tamil Nadu,2024-12-16,True
350,Zeeshan Sahni,Shimoga,Andhra Pradesh,2024-03-07,True
351,Adira Sandhu,Morena,Gujarat,2025-01-07,False
352,Drishya Kaul,Purnia,Telangana,2021-08-22,True
353,Diya Samra,Serampore,Delhi,2024-10-20,False
354,Rati Dar,Bahraich,Rajasthan,2025-01-04,False
355,Ahana  Kant,Tadipatri,Maharashtra,2024-03-30,True
356,Jayant Wadhwa,Junagadh,Rajasthan,2023-11-24,False
357,Kanav Jayaraman,Nagercoil,Telangana,2024-10-08,False
358,Divyansh Garg,Mehsana,Tamil Nadu,2024-01-14,False
359,Fateh Toor,Thane,Maharashtra,2021-11-17,True
360,Shanaya Konda,Gangtok,Gujarat,2024-07-31,False
361,Piya Dey,Allahabad,Karnataka,2024-01-01,True
362,Lagan Gola,Madurai,Andhra Pradesh,2023-08-23,False
363,Hiran Atwal,Pallavaram,Gujarat,2021-05-27,False
364,Zoya Bhardwaj,Ludhiana,Telangana,2021-11-27,False
365,Heer Dutta,Dindigul,Delhi,2024-05-11,False
366,Kimaya Sandal,Nadiad,Tamil Nadu,2023-06-21,True
367,Mannat Venkatesh,Amroha,Maharashtra,2022-06-06,False
368,Piya Din,Uluberia,Rajasthan,2024-11-03,True
369,Shamik Kala,Phagwara,Punjab,2023-08-21,True
370,Akarsh Madan,Darbhanga,Gujarat,2024-02-27,False
371,Shayak Chaudry,Panihati,Maharashtra,2021-05-18,False
372,Sahil Sur,Jamalpur,Andhra Pradesh,2024-11-21,False
373,Anaya Sachdev,Erode,Delhi,2022-02-04,True
374,Mannat Khare,Jehanabad,Telangana,2024-07-08,False
375,Inaaya  Singhal,Bokaro,Delhi,2024-12-23,True
376,Pari Khurana,Jamalpur,Gujarat,2024-09-01,True
377,Akarsh Tella,Nagaon,Kerala,2021-03-28,False
378,Prisha Shenoy,Hyderabad,Delhi,2024-06-05,True
379,Rasha Shanker,Karimnagar,Gujarat,2021-06-28,False
380,Priyansh Wable,Varanasi,Telangana,2022-10-01,True
381,Vanya Jhaveri,Tirupati,Punjab,2024-04-16,True
382,Misha Bahri,Durg,Maharashtra,2022-07-22,True
383,Lakshay Goswami,Tirunelveli,Tamil Nadu,2024-07-21,True
384,Elakshi Dhaliwal,Guwahati,Gujarat,2022-10-03,True
385,Shamik Sachdev,Bokaro,Rajasthan,2021-12-18,False
386,Anahi Shetty,Durgapur,Andhra Pradesh,2022-08-18,True
387,Advika Ahluwalia,Bidar,Karnataka,2022-03-10,False
388,Taran Wali,Mysore,Telangana,2024-02-15,False
389,Ishaan Borah,Ambala,Telangana,2023-09-20,False
390,Shamik Sha,North Dumdum,Rajasthan,2022-01-19,False
391,Vivaan Gala,Rajpur Sonarpur,Karnataka,2024-03-06,False
392,Saanvi Sagar,Malda,Tamil Nadu,2023-09-02,True
393,Eshani Kumer,Tadipatri,Rajasthan,2023-12-10,False
394,Ivana Sarna,Rajahmundry,Telangana,2021-05-23,False
395,Yasmin Ghose,Cuttack,Punjab,2021-10-10,True
396,Diya Sankaran,Morena,Karnataka,2023-12-01,False
397,Kabir Kashyap,Meerut,Karnataka,2022-09-15,False
398,Renee Buch,Gaya,Delhi,2021-11-14,True
399,Ela Thaker,Warangal,Maharashtra,2023-02-07,False
400,Madhup Soman,Bhubaneswar,Gujarat,2024-09-16,True
401,Renee Sundaram,Satna,Punjab,2021-06-04,False
402,Kaira Bawa,Durgapur,Maharashtra,2024-11-26,False
403,Bhavin Deo,Udupi,Maharashtra,2022-02-15,False
404,Vidur Deshmukh,Jalna,Tamil Nadu,2021-07-10,True
405,Adah Edwin,Sambhal,Punjab,2023-07-19,True
406,Riya Anand,Tiruppur,Gujarat,2023-09-26,True
407,Lakshay Vyas,Tiruppur,Kerala,2025-02-13,True
408,Alia Mallick,Pudukkottai,Karnataka,2021-08-24,True
409,Anahita Baral,Vellore,Rajasthan,2023-12-15,False
410,Samaira Rao,Rohtak,Punjab,2022-07-09,True
411,Vanya Raju,Siliguri,Delhi,2022-09-08,True
412,Hiran Babu,Raichur,Delhi,2021-09-16,True
413,Fateh Swaminathan,Akola,Tamil Nadu,2023-11-21,False
414,Tarini Arya,Morena,Karnataka,2024-06-03,True
415,Miraan Rao,Naihati,Delhi,2024-11-18,False
416,Lagan Ravi,Pondicherry,Telangana,2024-11-07,True
417,Saanvi Vora,Ambarnath,Punjab,2023-02-21,True
418,Ritvik Goel,Fatehpur,Kerala,2022-07-31,True
419,Zain Kant,Vasai-Virar,Kerala,2024-10-23,False
420,Miraan Thakur,Kozhikode,Karnataka,2022-04-17,False
421,Kaira Das,Saharanpur,Gujarat,2024-12-30,True
422,Anvi Barman,Kumbakonam,Kerala,2022-12-31,False
423,Rohan Sridhar,Bhilai,Telangana,2022-02-17,True
424,Eshani Baria,Ranchi,Karnataka,2023-12-24,False
425,Tara Soni,Rajahmundry,Maharashtra,2021-09-17,False
426,Anahita Vora,Gangtok,Punjab,2022-05-27,True
